com/mojang/blaze3d/platform/GlStateManager$class_1017	com/mojang/blaze3d/platform/GlStateManager$BlendState
com/mojang/blaze3d/platform/GlStateManager$class_1018	com/mojang/blaze3d/platform/GlStateManager$BooleanState
com/mojang/blaze3d/platform/GlStateManager$class_1021	com/mojang/blaze3d/platform/GlStateManager$ColorLogicState
com/mojang/blaze3d/platform/GlStateManager$class_1022	com/mojang/blaze3d/platform/GlStateManager$ColorMask
com/mojang/blaze3d/platform/GlStateManager$class_1025	com/mojang/blaze3d/platform/GlStateManager$CullState
com/mojang/blaze3d/platform/GlStateManager$class_1026	com/mojang/blaze3d/platform/GlStateManager$DepthState
com/mojang/blaze3d/platform/GlStateManager$class_1030	com/mojang/blaze3d/platform/GlStateManager$LogicOp
com/mojang/blaze3d/platform/GlStateManager$class_1031	com/mojang/blaze3d/platform/GlStateManager$PolygonOffsetState
com/mojang/blaze3d/platform/GlStateManager$class_1034	com/mojang/blaze3d/platform/GlStateManager$StencilFunc
com/mojang/blaze3d/platform/GlStateManager$class_1035	com/mojang/blaze3d/platform/GlStateManager$StencilState
com/mojang/blaze3d/platform/GlStateManager$class_1039	com/mojang/blaze3d/platform/GlStateManager$TextureState
com/mojang/blaze3d/platform/GlStateManager$class_1040	com/mojang/blaze3d/platform/GlStateManager$Viewport
com/mojang/blaze3d/platform/GlStateManager$class_4534	com/mojang/blaze3d/platform/GlStateManager$DestFactor
com/mojang/blaze3d/platform/GlStateManager$class_4535	com/mojang/blaze3d/platform/GlStateManager$SourceFactor
com/mojang/blaze3d/platform/GlStateManager$class_5518	com/mojang/blaze3d/platform/GlStateManager$ScissorState
com/mojang/blaze3d/systems/RenderSystem$class_5590	com/mojang/blaze3d/systems/RenderSystem$AutoStorageIndexBuffer
com/mojang/blaze3d/systems/RenderSystem$class_5590$class_5591	com/mojang/blaze3d/systems/RenderSystem$AutoStorageIndexBuffer$IndexGenerator
net/minecraft/class_10	net/minecraft/world/level/pathfinder/PathComputationType
net/minecraft/class_1000	net/minecraft/client/renderer/entity/layers/SpiderEyesLayer
net/minecraft/class_1001	net/minecraft/client/renderer/entity/layers/TropicalFishPatternLayer
net/minecraft/class_1001$1	net/minecraft/client/renderer/entity/layers/TropicalFishPatternLayer$1
net/minecraft/class_1002	net/minecraft/client/renderer/entity/layers/StrayClothingLayer
net/minecraft/class_1004	net/minecraft/client/renderer/entity/layers/WitherArmorLayer
net/minecraft/class_1005	net/minecraft/client/renderer/entity/layers/WitchItemLayer
net/minecraft/class_1006	net/minecraft/client/renderer/entity/layers/WolfCollarLayer
net/minecraft/class_1007	net/minecraft/client/renderer/entity/player/PlayerRenderer
net/minecraft/class_1008	com/mojang/blaze3d/platform/GlDebug
net/minecraft/class_1008$class_6359	com/mojang/blaze3d/platform/GlDebug$LogEntry
net/minecraft/class_101	net/minecraft/world/level/storage/loot/functions/CopyNameFunction
net/minecraft/class_101$class_102	net/minecraft/world/level/storage/loot/functions/CopyNameFunction$NameSource
net/minecraft/class_101$class_103	net/minecraft/world/level/storage/loot/functions/CopyNameFunction$Serializer
net/minecraft/class_1011	com/mojang/blaze3d/platform/NativeImage
net/minecraft/class_1011$class_1012	com/mojang/blaze3d/platform/NativeImage$Format
net/minecraft/class_1011$class_1013	com/mojang/blaze3d/platform/NativeImage$InternalGlFormat
net/minecraft/class_1011$class_1014	com/mojang/blaze3d/platform/NativeImage$WriteCallback
net/minecraft/class_104	net/minecraft/world/level/storage/loot/functions/ApplyExplosionDecay
net/minecraft/class_104$class_105	net/minecraft/world/level/storage/loot/functions/ApplyExplosionDecay$Serializer
net/minecraft/class_1041	com/mojang/blaze3d/platform/Window
net/minecraft/class_1041$class_4716	com/mojang/blaze3d/platform/Window$WindowInitFailed
net/minecraft/class_1043	net/minecraft/client/renderer/texture/DynamicTexture
net/minecraft/class_1044	net/minecraft/client/renderer/texture/AbstractTexture
net/minecraft/class_1046	net/minecraft/client/renderer/texture/HttpTexture
net/minecraft/class_1047	net/minecraft/client/renderer/texture/MissingTextureAtlasSprite
net/minecraft/class_1049	net/minecraft/client/renderer/texture/SimpleTexture
net/minecraft/class_1049$class_4006	net/minecraft/client/renderer/texture/SimpleTexture$TextureImage
net/minecraft/class_1054	net/minecraft/client/renderer/texture/StitcherException
net/minecraft/class_1055	net/minecraft/client/renderer/texture/Stitcher
net/minecraft/class_1055$class_1056	net/minecraft/client/renderer/texture/Stitcher$Holder
net/minecraft/class_1055$class_1057	net/minecraft/client/renderer/texture/Stitcher$Region
net/minecraft/class_1055$class_4726	net/minecraft/client/renderer/texture/Stitcher$SpriteLoader
net/minecraft/class_1055$class_7769	net/minecraft/client/renderer/texture/Stitcher$Entry
net/minecraft/class_1058	net/minecraft/client/renderer/texture/TextureAtlasSprite
net/minecraft/class_1058$1	net/minecraft/client/renderer/texture/TextureAtlasSprite$1
net/minecraft/class_1058$class_7770	net/minecraft/client/renderer/texture/TextureAtlasSprite$Ticker
net/minecraft/class_1059	net/minecraft/client/renderer/texture/TextureAtlas
net/minecraft/class_106	net/minecraft/world/level/storage/loot/functions/EnchantWithLevelsFunction
net/minecraft/class_106$class_107	net/minecraft/world/level/storage/loot/functions/EnchantWithLevelsFunction$Builder
net/minecraft/class_106$class_108	net/minecraft/world/level/storage/loot/functions/EnchantWithLevelsFunction$Serializer
net/minecraft/class_1060	net/minecraft/client/renderer/texture/TextureManager
net/minecraft/class_1061	net/minecraft/client/renderer/texture/Tickable
net/minecraft/class_1064	net/minecraft/client/resources/IndexedAssetSource
net/minecraft/class_1065	net/minecraft/client/resources/ClientPackSource
net/minecraft/class_1066	net/minecraft/client/resources/DownloadedPackSource
net/minecraft/class_1068	net/minecraft/client/resources/DefaultPlayerSkin
net/minecraft/class_1068$class_7920	net/minecraft/client/resources/DefaultPlayerSkin$ModelType
net/minecraft/class_1068$class_7921	net/minecraft/client/resources/DefaultPlayerSkin$SkinType
net/minecraft/class_1069	net/minecraft/client/resources/GrassColorReloadListener
net/minecraft/class_1070	net/minecraft/client/resources/FoliageColorReloadListener
net/minecraft/class_1071	net/minecraft/client/resources/SkinManager
net/minecraft/class_1071$1	net/minecraft/client/resources/SkinManager$1
net/minecraft/class_1071$2	net/minecraft/client/resources/SkinManager$2
net/minecraft/class_1071$class_1072	net/minecraft/client/resources/SkinManager$SkinTextureCallback
net/minecraft/class_1074	net/minecraft/client/resources/language/I18n
net/minecraft/class_1076	net/minecraft/client/resources/language/LanguageManager
net/minecraft/class_1077	net/minecraft/client/resources/language/LanguageInfo
net/minecraft/class_1078	net/minecraft/client/resources/language/ClientLanguage
net/minecraft/class_1079	net/minecraft/client/resources/metadata/animation/AnimationMetadataSection
net/minecraft/class_1079$1	net/minecraft/client/resources/metadata/animation/AnimationMetadataSection$1
net/minecraft/class_1079$class_5792	net/minecraft/client/resources/metadata/animation/AnimationMetadataSection$FrameOutput
net/minecraft/class_1080	net/minecraft/client/resources/metadata/animation/AnimationFrame
net/minecraft/class_1081	net/minecraft/client/resources/metadata/animation/AnimationMetadataSectionSerializer
net/minecraft/class_1082	net/minecraft/client/resources/metadata/language/LanguageMetadataSection
