class_10	PathComputationType	net.minecraft.world.level.pathfinder.PathComputationType
class_1000	SpiderEyesLayer	net.minecraft.client.renderer.entity.layers.SpiderEyesLayer
class_1001	TropicalFishPatternLayer	net.minecraft.client.renderer.entity.layers.TropicalFishPatternLayer
class_1002	StrayClothingLayer	net.minecraft.client.renderer.entity.layers.StrayClothingLayer
class_1004	WitherArmorLayer	net.minecraft.client.renderer.entity.layers.WitherArmorLayer
class_1005	WitchItemLayer	net.minecraft.client.renderer.entity.layers.WitchItemLayer
class_1006	WolfCollarLayer	net.minecraft.client.renderer.entity.layers.WolfCollarLayer
class_1007	PlayerRenderer	net.minecraft.client.renderer.entity.player.PlayerRenderer
class_1008	GlDebug	com.mojang.blaze3d.platform.GlDebug
class_101	CopyNameFunction	net.minecraft.world.level.storage.loot.functions.CopyNameFunction
class_1011	NativeImage	com.mojang.blaze3d.platform.NativeImage
class_104	ApplyExplosionDecay	net.minecraft.world.level.storage.loot.functions.ApplyExplosionDecay
class_1041	Window	com.mojang.blaze3d.platform.Window
class_1043	DynamicTexture	net.minecraft.client.renderer.texture.DynamicTexture
class_1044	AbstractTexture	net.minecraft.client.renderer.texture.AbstractTexture
class_1046	HttpTexture	net.minecraft.client.renderer.texture.HttpTexture
class_1047	MissingTextureAtlasSprite	net.minecraft.client.renderer.texture.MissingTextureAtlasSprite
class_1049	SimpleTexture	net.minecraft.client.renderer.texture.SimpleTexture
class_1054	StitcherException	net.minecraft.client.renderer.texture.StitcherException
class_1055	Stitcher	net.minecraft.client.renderer.texture.Stitcher
class_1058	TextureAtlasSprite	net.minecraft.client.renderer.texture.TextureAtlasSprite
class_1059	TextureAtlas	net.minecraft.client.renderer.texture.TextureAtlas
class_106	EnchantWithLevelsFunction	net.minecraft.world.level.storage.loot.functions.EnchantWithLevelsFunction
class_1060	TextureManager	net.minecraft.client.renderer.texture.TextureManager
class_1061	Tickable	net.minecraft.client.renderer.texture.Tickable
class_1064	IndexedAssetSource	net.minecraft.client.resources.IndexedAssetSource
class_1065	ClientPackSource	net.minecraft.client.resources.ClientPackSource
class_1066	DownloadedPackSource	net.minecraft.client.resources.DownloadedPackSource
class_1068	DefaultPlayerSkin	net.minecraft.client.resources.DefaultPlayerSkin
class_1069	GrassColorReloadListener	net.minecraft.client.resources.GrassColorReloadListener
class_1070	FoliageColorReloadListener	net.minecraft.client.resources.FoliageColorReloadListener
class_1071	SkinManager	net.minecraft.client.resources.SkinManager
class_1074	I18n	net.minecraft.client.resources.language.I18n
class_1076	LanguageManager	net.minecraft.client.resources.language.LanguageManager
class_1077	LanguageInfo	net.minecraft.client.resources.language.LanguageInfo
class_1078	ClientLanguage	net.minecraft.client.resources.language.ClientLanguage
class_1079	AnimationMetadataSection	net.minecraft.client.resources.metadata.animation.AnimationMetadataSection
class_1080	AnimationFrame	net.minecraft.client.resources.metadata.animation.AnimationFrame
class_1081	AnimationMetadataSectionSerializer	net.minecraft.client.resources.metadata.animation.AnimationMetadataSectionSerializer
class_1082	LanguageMetadataSection	net.minecraft.client.resources.metadata.language.LanguageMetadataSection
class_1084	TextureMetadataSection	net.minecraft.client.resources.metadata.texture.TextureMetadataSection
class_1085	TextureMetadataSectionSerializer	net.minecraft.client.resources.metadata.texture.TextureMetadataSectionSerializer
class_1086	BlockModelRotation	net.minecraft.client.resources.model.BlockModelRotation
class_1087	BakedModel	net.minecraft.client.resources.model.BakedModel
class_1088	ModelBakery	net.minecraft.client.resources.model.ModelBakery
class_109	EnchantRandomlyFunction	net.minecraft.world.level.storage.loot.functions.EnchantRandomlyFunction
class_1090	BuiltInModel	net.minecraft.client.resources.model.BuiltInModel
class_1091	ModelResourceLocation	net.minecraft.client.resources.model.ModelResourceLocation
class_1092	ModelManager	net.minecraft.client.resources.model.ModelManager
class_1093	SimpleBakedModel	net.minecraft.client.resources.model.SimpleBakedModel
class_1095	MultiPartBakedModel	net.minecraft.client.resources.model.MultiPartBakedModel
class_1097	WeightedBakedModel	net.minecraft.client.resources.model.WeightedBakedModel
class_11	Path	net.minecraft.world.level.pathfinder.Path
class_1100	UnbakedModel	net.minecraft.client.resources.model.UnbakedModel
class_1101	AbstractTickableSoundInstance	net.minecraft.client.resources.sounds.AbstractTickableSoundInstance
class_1102	AbstractSoundInstance	net.minecraft.client.resources.sounds.AbstractSoundInstance
class_1103	ElytraOnPlayerSoundInstance	net.minecraft.client.resources.sounds.ElytraOnPlayerSoundInstance
class_1104	AmbientSoundHandler	net.minecraft.client.resources.sounds.AmbientSoundHandler
class_1105	GuardianAttackSoundInstance	net.minecraft.client.resources.sounds.GuardianAttackSoundInstance
class_1106	EntityBoundSoundInstance	net.minecraft.client.resources.sounds.EntityBoundSoundInstance
class_1107	RidingMinecartSoundInstance	net.minecraft.client.resources.sounds.RidingMinecartSoundInstance
class_1108	MinecartSoundInstance	net.minecraft.client.resources.sounds.MinecartSoundInstance
class_1109	SimpleSoundInstance	net.minecraft.client.resources.sounds.SimpleSoundInstance
class_111	ExplorationMapFunction	net.minecraft.world.level.storage.loot.functions.ExplorationMapFunction
class_1110	SoundEventRegistration	net.minecraft.client.resources.sounds.SoundEventRegistration
class_1111	Sound	net.minecraft.client.resources.sounds.Sound
class_1113	SoundInstance	net.minecraft.client.resources.sounds.SoundInstance
class_1115	SoundEventRegistrationSerializer	net.minecraft.client.resources.sounds.SoundEventRegistrationSerializer
class_1116	UnderwaterAmbientSoundHandler	net.minecraft.client.resources.sounds.UnderwaterAmbientSoundHandler
class_1117	TickableSoundInstance	net.minecraft.client.resources.sounds.TickableSoundInstance
class_1118	UnderwaterAmbientSoundInstances	net.minecraft.client.resources.sounds.UnderwaterAmbientSoundInstances
class_1121	IdSearchTree	net.minecraft.client.searchtree.IdSearchTree
class_1122	IntersectionIterator	net.minecraft.client.searchtree.IntersectionIterator
class_1123	RefreshableSearchTree	net.minecraft.client.searchtree.RefreshableSearchTree
class_1124	SearchRegistry	net.minecraft.client.searchtree.SearchRegistry
class_1126	FullTextSearchTree	net.minecraft.client.searchtree.FullTextSearchTree
class_1127	MergingUniqueIterator	net.minecraft.client.searchtree.MergingUniqueIterator
class_1128	SuffixArray	net.minecraft.client.searchtree.SuffixArray
class_1129	SearchTree	net.minecraft.client.searchtree.SearchTree
class_1130	IntegratedPlayerList	net.minecraft.client.server.IntegratedPlayerList
class_1131	LanServer	net.minecraft.client.server.LanServer
class_1132	IntegratedServer	net.minecraft.client.server.IntegratedServer
class_1133	LanServerPinger	net.minecraft.client.server.LanServerPinger
class_1134	LanServerDetection	net.minecraft.client.server.LanServerDetection
class_114	LimitCount	net.minecraft.world.level.storage.loot.functions.LimitCount
class_1140	SoundEngine	net.minecraft.client.sounds.SoundEngine
class_1142	MusicManager	net.minecraft.client.sounds.MusicManager
class_1143	Musics	net.minecraft.sounds.Musics
class_1144	SoundManager	net.minecraft.client.sounds.SoundManager
class_1145	SoundEventListener	net.minecraft.client.sounds.SoundEventListener
class_1146	WeighedSoundEvents	net.minecraft.client.sounds.WeighedSoundEvents
